gene_identifier	macM	macF	mouse	pig	human
gene_1	ND2	ND2	mt-Nd2	ND2	MT-ND2
gene_2	COX1	COX1	mt-Co1	COX1	MT-CO1
gene_3	COX2	COX2	mt-Co2	COX2	MT-CO2
gene_4	ATP8	ATP8	mt-Atp8	ATP8	MT-ATP8
gene_5	COX3	COX3	mt-Co3	COX3	MT-CO3
gene_6	ND3	ND3	mt-Nd3	ND3	MT-ND3
gene_7	ND4	ND4	mt-Nd4	ND4	MT-ND4
gene_8	ND5	ND5	mt-Nd5	ND5	MT-ND5
gene_9	CYTB	CYTB	mt-Cytb	CYTB	MT-CYB
gene_10	KDM5D	KDM5D	Kdm5d	KDM5D	KDM5D
gene_11	ZFY	ZFY	Zfx	ZFY	ZFY
gene_12	MIPEP	MIPEP	Mipep	MIPEP	MIPEP
gene_13	KATNAL1	KATNAL1	Katnal1	KATNAL1	KATNAL1
gene_14	CCNA1	CCNA1	Ccna1	CCNA1	CCNA1
gene_15	USPL1	USPL1	Uspl1	USPL1	USPL1
gene_16	SOHLH2	SOHLH2	Sohlh2	SOHLH2	SOHLH2
gene_17	HSPH1	HSPH1	Hsph1	HSPH1	HSPH1
gene_18	NUFIP1	NUFIP1	Nufip1	NUFIP1	NUFIP1
gene_19	KPNA3	KPNA3	Kpna3	KPNA3	KPNA3
gene_20	CRYL1	CRYL1	Cryl1	CRYL1	CRYL1
gene_21	CDX2	CDX2	Cdx2	CDX2	CDX2
gene_22	PAN3	PAN3	Pan3	PAN3	PAN3
gene_23	CAB39L	CAB39L	Cab39l	CAB39L	CAB39L
gene_24	DNAJC15	DNAJC15	Dnajc15	DNAJC15	DNAJC15
gene_25	GPR12	GPR12	Gpr12	GPR12	GPR12
gene_26	GTF2F2	GTF2F2	Gtf2f2	GTF2F2	GTF2F2
gene_27	WASF3	WASF3	Wasf3	WASF3	WASF3
gene_28	POSTN	POSTN	Postn	POSTN	POSTN
gene_29	FNDC3A	FNDC3A	Fndc3a	FNDC3A	FNDC3A
gene_30	LHFPL6	LHFPL6	Lhfp	LHFPL6	LHFPL6
gene_31	AKAP11	AKAP11	Akap11	AKAP11	AKAP11
gene_32	MZT1	MZT1	Mzt1	MZT1	MZT1
gene_33	ADRA1D	ADRA1D	Adra1d	ADRA1D	ADRA1D
gene_34	PROSER1	PROSER1	Proser1	PROSER1	PROSER1
gene_35	RSPO4	RSPO4	Rspo4	RSPO4	RSPO4
gene_36	DEFB129	DEFB129	Defb23	DEFB129	DEFB129
gene_37	ANGPT4	ANGPT4	Angpt4	ANGPT4	ANGPT4
gene_38	KL	KL	Kl	KL	KL
gene_39	SHLD1	SHLD1	Shld1	SHLD1	SHLD1
gene_40	TMX4	TMX4	Tmx4	TMX4	TMX4
gene_41	PIBF1	PIBF1	Pibf1	PIBF1	PIBF1
gene_42	DEFB125	DEFB125	Defb26	DEFB125	DEFB125
gene_43	BMP2	BMP2	Bmp2	BMP2	BMP2
gene_44	PDYN	PDYN	Pdyn	PDYN	PDYN
gene_45	BORA	BORA	Bora	BORA	BORA
gene_46	FAM110A	FAM110A	Fam110a	FAM110A	FAM110A
gene_47	DEFB128	DEFB128	Defb20	DEFB128	DEFB128
gene_48	KLHL1	KLHL1	Klhl1	KLHL1	KLHL1
gene_49	BTBD3	BTBD3	Btbd3	BTBD3	BTBD3
gene_50	GTF3A	GTF3A	Gtf3a	GTF3A	GTF3A
gene_51	CNMD	CNMD	Cnmd	CNMD	CNMD
gene_52	B3GLCT	B3GLCT	B3glct	B3GLCT	B3GLCT
gene_53	ELF1	ELF1	Elf1	ELF1	ELF1
gene_54	PCSK2	PCSK2	Pcsk2	PCSK2	PCSK2
gene_55	SCEL	SCEL	Scel	SCEL	SCEL
gene_56	ISM1	ISM1	Ism1	ISM1	ISM1
gene_57	FLRT3	FLRT3	Flrt3	FLRT3	FLRT3
gene_58	SYNDIG1	SYNDIG1	Syndig1	SYNDIG1	SYNDIG1
gene_59	HAO1	HAO1	Hao1	HAO1	HAO1
gene_60	XRN2	XRN2	Xrn2	XRN2	XRN2
gene_61	FREM2	FREM2	Frem2	FREM2	FREM2
gene_62	GPCPD1	GPCPD1	Gpcpd1	GPCPD1	GPCPD1
gene_63	TBC1D4	TBC1D4	Tbc1d4	TBC1D4	TBC1D4
gene_64	CST7	CST7	Cst7	CST7	CST7
gene_65	SPRY2	SPRY2	Spry2	SPRY2	SPRY2
gene_66	UFM1	UFM1	Ufm1	UFM1	UFM1
gene_67	APMAP	APMAP	Apmap	APMAP	APMAP
gene_68	BFSP1	BFSP1	Bfsp1	BFSP1	BFSP1
gene_69	DACH1	DACH1	Dach1	DACH1	DACH1
gene_70	DSTN	DSTN	Dstn	DSTN	DSTN
gene_71	CBY2	CBY2	Cby2	CBY2	CBY2
gene_72	STK35	STK35	Stk35	STK35	STK35
gene_73	TGDS	TGDS	Tgds	TGDS	TGDS
gene_74	FLT1	FLT1	Flt1	FLT1	FLT1
gene_75	CCT8L2	CCT8L2	Cct8l1	CCT8L2	CCT8L2
gene_76	SPTLC3	SPTLC3	Sptlc3	SPTLC3	SPTLC3
gene_77	ACSS2	ACSS2	Acss2	ACSS2	ACSS2
gene_78	UBAC2	UBAC2	Ubac2	UBAC2	UBAC2
gene_79	RFC3	RFC3	Rfc3	RFC3	RFC3
gene_80	DCT	DCT	Dct	DCT	DCT
gene_81	POU4F1	POU4F1	Pou4f1	POU4F1	POU4F1
gene_82	TM9SF2	TM9SF2	Tm9sf2	TM9SF2	TM9SF2
